"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that Visa, MasterCard, and Белкарт logos are displayed","15684","testPaymentSystemLogos()","","Wed Sep 04 13:28:43 MSK 2024","passed","Wed Sep 04 13:28:58 MSK 2024","","com.mts.tests.MtsByTests","com.mts.tests.MtsByTests","testPaymentSystemLogos"
"Verifies that clicking on the 'More About Service' link navigates to the correct URL","17440","testMoreAboutServiceLink()","","Wed Sep 04 13:28:25 MSK 2024","passed","Wed Sep 04 13:28:43 MSK 2024","","com.mts.tests.MtsByTests","com.mts.tests.MtsByTests","testMoreAboutServiceLink"
"Verifies that the block title on the Services page is correct","16970","testCheckBlockTitle()","","Wed Sep 04 13:28:08 MSK 2024","passed","Wed Sep 04 13:28:25 MSK 2024","","com.mts.tests.MtsByTests","com.mts.tests.MtsByTests","testCheckBlockTitle"
"Verifies the placeholder text in the payment forms for different options","16505","testCheckPlaceholdersForAllPaymentOptions()","","Wed Sep 04 13:28:58 MSK 2024","passed","Wed Sep 04 13:29:15 MSK 2024","","com.mts.tests.MtsByTests","com.mts.tests.MtsByTests","testCheckPlaceholdersForAllPaymentOptions"
"Checks if the payment form displays the correct information and buttons","19572","testOnlinePaymentForm()","","Wed Sep 04 13:29:15 MSK 2024","passed","Wed Sep 04 13:29:34 MSK 2024","","com.mts.tests.MtsByTests","com.mts.tests.MtsByTests","testOnlinePaymentForm"
